web_scraper_order,web_scraper_start_url,title,image2
"1772175547-1","https://dribbble.com/shots/recent/mobile","Barber Shop App – Appointment Booking UI","https://cdn.dribbble.com/userupload/46875241/file/ac95d6b6e508c5dbd95955a555973304.png?format=webp&resize=1200x900&vertical=center"
"1772175547-2","https://dribbble.com/shots/recent/mobile","SolarSync – Smart Energy Monitoring App","https://cdn.dribbble.com/userupload/46874581/file/60fce397f1425c606ff8c5fe9182a452.png?format=webp&resize=1200x900&vertical=center"
"1772175547-3","https://dribbble.com/shots/recent/mobile","Mental Wellness Journaling App for Emotional Tracking","https://cdn.dribbble.com/userupload/46874997/file/6ecdcd50a56ccafb29b6d6767e47923b.png?format=webp&resize=800x600&vertical=center"
"1772175547-4","https://dribbble.com/shots/recent/mobile","AI Monitoring Solar App Design","https://cdn.dribbble.com/userupload/46875311/file/fd435cc70ea3e37d21f62e14758582e0.png?format=webp&resize=1200x900&vertical=center"
"1772175547-5","https://dribbble.com/shots/recent/mobile","LuxLens – Designer Sunglasses Store App","https://cdn.dribbble.com/userupload/46888025/file/81de0103a71e8bb564e6ab4b14ea203f.png?format=webp&resize=1200x900&vertical=center"
"1772175547-6","https://dribbble.com/shots/recent/mobile","Drone Delivery Mobile App UI Design","https://cdn.dribbble.com/userupload/46874822/file/dc04f5c6613d3fa925660d70f0f86468.png?format=webp&resize=1200x900&vertical=center"
"1772175547-7","https://dribbble.com/shots/recent/mobile","Healthy Meal Tracker – Mobile App","https://cdn.dribbble.com/userupload/46869388/file/fd343a09d1fcf031055b2cef7d855adc.jpg?format=webp&resize=1200x900&vertical=center"
"1772175547-8","https://dribbble.com/shots/recent/mobile","AI Fashion E commerce Mobile App","https://cdn.dribbble.com/userupload/46876133/file/bb620fc252a049b2c43a2dea3d3006ed.png?format=webp&resize=1200x900&vertical=center"
"1772175547-9","https://dribbble.com/shots/recent/mobile","Food Delivery Mobile App","https://cdn.dribbble.com/userupload/46855508/file/50803db369950a680d8f4091990cd6a5.png?format=webp&resize=1200x900&vertical=center"
"1772175547-10","https://dribbble.com/shots/recent/mobile","Tresor – Investment App – Stock Buying","https://cdn.dribbble.com/userupload/46886878/file/still-4ffc3613c5940db72bf6422bddf71bbf.png?format=webp&resize=1200x900&vertical=center"
"1772175547-11","https://dribbble.com/shots/recent/mobile","Kids E-Learning Academy App","https://cdn.dribbble.com/userupload/46832790/file/cb44ee6260002660bf0858ed8fa21867.jpg?format=webp&resize=1200x900&vertical=center"
"1772175547-12","https://dribbble.com/shots/recent/mobile","Healthcare Mobile App","https://cdn.dribbble.com/userupload/46879226/file/30c922744ebef59a6a632c83bd25cddf.png?format=webp&resize=1200x900&vertical=center"
"1772175547-13","https://dribbble.com/shots/recent/mobile","AI  Betting Assistant Mobile App","https://cdn.dribbble.com/userupload/46870920/file/b623fd50d521ffc6cf5c915139bb1a5c.png?format=webp&resize=1200x900&vertical=center"
